listing_id,date
197972,2021-10-25
197972,2021-10-31
4090224,2017-05-11
6882615,2017-10-01
6882615,2017-10-08
6882615,2017-10-12
6882615,2017-11-13
6882615,2017-11-20
6882615,2017-11-26
6882615,2017-12-01
6882615,2017-12-21
6882615,2017-12-26
6882615,2017-12-29
6882615,2018-01-07
6882615,2018-01-10
6882615,2018-01-28
6882615,2018-02-18
6882615,2018-03-04
6882615,2018-03-19
6882615,2018-03-21
6882615,2018-04-14
6882615,2018-04-17
6882615,2018-04-30
197972,2021-11-13
197972,2021-11-18
197972,2021-11-29
197972,2021-12-08
197972,2021-12-20
197972,2021-12-28
197972,2022-01-03
197972,2022-01-17
197972,2022-02-16
197972,2022-02-21
197972,2022-03-08
197972,2022-03-14
197972,2022-03-20
197972,2022-03-28
197972,2022-04-03
197972,2022-04-11
197972,2022-04-19
197972,2022-05-02
197972,2022-05-24
197972,2022-05-27
197972,2022-05-30
6882615,2018-05-10
6882615,2018-05-11
6882615,2018-05-14
6882615,2018-05-26
6882615,2018-06-02
6882615,2018-06-14
6882615,2018-07-04
6882615,2018-07-31
6882615,2018-08-21
6882615,2018-09-11
6882615,2018-09-15
6882615,2018-09-18
6882615,2018-09-20
6882615,2018-09-25
6882615,2018-09-27
6882615,2018-10-03
6882615,2018-10-05
6882615,2018-10-09
6882615,2018-10-11
4090224,2017-05-18
4090224,2017-05-24
4090224,2017-06-01
4090224,2017-06-02
4090224,2017-06-04
4090224,2017-06-05
4090224,2017-06-08
4090224,2017-06-11
4090224,2017-06-15
4090224,2017-06-16
4090224,2017-06-19
4090224,2017-06-23
4090224,2017-06-30
4090224,2017-07-01
4090224,2017-07-09
4090224,2017-07-14
4090224,2017-07-21
4090224,2017-07-23
4090224,2017-07-28
197972,2022-06-07
4090224,2017-08-01
4090224,2017-08-02
4090224,2017-08-03
4090224,2017-08-13
4090224,2017-08-14
4090224,2017-08-15
4090224,2017-08-16
4090224,2017-08-18
4090224,2017-08-20
4090224,2017-08-21
6882615,2018-10-15
6882615,2018-10-25
6882615,2018-11-01
6882615,2018-11-10
6882615,2018-11-19
6882615,2018-11-30
6882615,2018-12-19
6882615,2019-01-07
6882615,2019-01-10
6882615,2019-01-18
6882615,2019-01-21
6882615,2019-01-26
6882615,2019-02-02
6882615,2019-02-12
6882615,2019-02-20
6882615,2019-02-24
6882615,2019-02-28
6882615,2019-03-06
6882615,2019-03-15
6882615,2019-03-23
6882615,2019-03-28
6882615,2019-04-02
197972,2022-06-11
197972,2022-06-18
197972,2022-06-21
197972,2022-06-23
197972,2022-06-26
197972,2022-07-01
197972,2022-07-08
197972,2022-07-12
197972,2022-07-18
197972,2022-07-26
197972,2022-08-04
197972,2022-08-08
197972,2022-08-13
197972,2022-08-20
197972,2022-09-11
197972,2022-09-23
6882615,2019-04-06
6882615,2019-04-09
6882615,2019-04-10
6882615,2019-04-13
6882615,2019-04-16
6882615,2019-04-18
6882615,2019-04-24
6882615,2019-04-30
6882615,2019-05-03
6882615,2019-05-05
6882615,2019-05-08
6882615,2019-05-18
6882615,2019-05-19
6882615,2019-06-21
6882615,2019-06-26
6882615,2019-07-06
6882615,2019-07-26
6882615,2019-08-02
6882615,2019-08-05
4090224,2017-08-23
4090224,2017-08-24
4090224,2017-08-31
4090224,2017-09-01
4090224,2017-09-10
4090224,2017-09-18
4090224,2017-09-21
4090224,2017-09-22
4090224,2017-09-24
4090224,2017-09-28
4090224,2017-10-04
4090224,2017-10-07
4090224,2017-10-13
4090224,2017-10-15
4090224,2017-10-24
4090224,2017-10-28
4090224,2017-10-31
4090224,2017-11-02
4090224,2017-11-04
4090224,2017-11-06
4090224,2017-11-16
4090224,2017-11-20
4090224,2017-11-21
4090224,2017-11-23
4090224,2017-11-26
4090224,2017-12-01
4090224,2017-12-02
4090224,2017-12-08
4090224,2017-12-10
4090224,2017-12-13
4090224,2017-12-14
4090224,2017-12-17
4090224,2017-12-22
4090224,2017-12-23
4090224,2017-12-29
4090224,2018-01-01
4090224,2018-01-05
4090224,2018-01-07
4090224,2018-01-11
4090224,2018-01-16
4090224,2018-01-19
4090224,2018-01-20
4090224,2018-01-21
4090224,2018-01-23
4090224,2018-01-27
197972,2022-11-01
197972,2022-11-21
